expressionRxns1,expressionRxns2,expressionRxns3
2.83463212824859,4.07951786102642,3.40522517528803
3.23775673131528,4.28649142248294,2.7474209133024
3.75213952173177,2.54646544607851,3.9829832708536
3.75213952173177,2.54646544607851,3.9829832708536
3.75213952173177,2.54646544607851,3.9829832708536
3.75213952173177,2.54646544607851,3.9829832708536
0.0885073017184061,0.847398645035545,2.08099415985334
-1,-1,-1
3.11858544594168,4.10857312277968,3.10221859602858
3.11858544594168,4.10857312277968,3.10221859602858
0.541593431626175,0,6.67011991208895
0.541593431626175,0,6.67011991208895
0.541593431626175,0,6.67011991208895
0.541593431626175,0,6.67011991208895
0.541593431626175,0,6.67011991208895
0.541593431626175,0,6.67011991208895
0.541593431626175,0,6.67011991208895
0.541593431626175,0,6.67011991208895
0.541593431626175,0,6.67011991208895
0.541593431626175,0,6.67011991208895
0.541593431626175,0,6.67011991208895
0.541593431626175,0,6.67011991208895
0.541593431626175,0,6.67011991208895
0.541593431626175,0,6.67011991208895
3.53418737909614,1.31735551618557,4.91224864676488
0.262674310331562,0.0919169595841185,0.041829238754483
0.262674310331562,0.0919169595841185,0.041829238754483
0.262674310331562,0.0919169595841185,0.041829238754483
3.24148635237632,3.93623241045632,3.18389029712579
