gene_used1,gene_used2,gene_used3
8639,8639,26
,,
,,
,,
,,
,,
64802,64802,64802
23057,349565,64802
4837,4837,4837
5409,5409,5409
4846,4846,4846
4846,4846,4846
4860,4860,4860
6818,6818,6818
1374,126129,1375
1376,1376,1376
55808,55808,55808
55808,55808,55808
22978,22978,22978
30833,30833,51251
22978,22978,22978
22978,22978,22978
30833,30833,30833
56953,56953,56953
51251,51251,51251
4907,4907,4907
53,51205,54
56953,56953,56953
4907,30833,51251
53,51205,54
22978,22978,22978
4907,30833,30833
53,51205,54
22978,22978,22978
53,51205,54
56953,56953,56953
22978,22978,22978
53,51205,54
22978,22978,22978
4907,30833,30833
53,51205,54
22978,22978,22978
53,51205,54
22978,22978,22978
4907,30833,30833
53,51205,54
956,124583,953
3704,3704,3704
3704,3704,3704
3704,3704,3704
6476,6476,6476
6476,6476,6476
,,
5009,5009,5009
5019,5019,5019
1629,593,594
1629,593,594
1629,593,594
7372,7372,7372
26873,26873,26873
,,
,,
4953,4953,4953
4942,4942,4942
7372,7372,7372
1583,1583,1583
1584,1584,1584
1584,1584,1584
1585,1585,1585
1586,1586,1586
1545,1545,5447
1586,1586,1586
1545,1545,5447
1588,1588,1588
1588,1588,1588
,,
1589,1589,1589
1589,1589,1589
1593,1593,1593
1593,1593,1593
1593,1593,1593
1593,1593,1593
1593,1593,1593
1593,1593,1593
1593,1593,1593
1548,1548,1548
1557,5447,1576
9420,5447,9420
1558,1558,1558
1559,1559,1559
9420,9420,9420
9420,9420,9420
9420,9420,9420
1565,1565,1565
1571,1571,1571
1572,1572,1572
1555,1555,1555
64816,64816,64816
1551,5447,1586
1551,1551,1551
1555,1555,1555
5447,66002,5447
4051,4051,4051
66002,66002,5447
66002,66002,66002
11283,11283,11283
1581,1581,1581
1544,1544,1544
1544,1544,1544
1582,1582,1582
1582,1582,1582
,,
,,
8659,8659,8659
5831,5831,5831
,,
5051,5051,5051
7941,7941,7941
,,
,,
5338,5337,5338
5337,5337,5337
5337,5337,5337
5337,5337,5337
130013,130013,130013
5352,5352,5352
5091,5091,5091
5140,5138,5150
10846,10846,10846
5140,5138,5139
10846,10846,10846
5152,5152,5152
8050,1737,8050
55163,55163,55163
57026,57026,57026
4128,4129,26
,,
5105,5105,5105
5105,5106,5106
5833,5833,5833
10400,10400,10400
10400,10400,10400
5211,5213,5214
5209,5208,5209
26227,26227,26227
5730,5730,5730
5730,5730,5730
9536,80142,9536
2821,2821,2821
5740,5740,5740
5230,5230,5230
25796,25796,25796
9563,9563,9563
283871,283871,283871
5223,5223,5223
5236,5236,55276
114971,114971,114971
9489,9489,9489
5743,5743,5742
5743,5743,5742
,,
8659,8659,8659
,,
2805,2805,2805
2806,2806,2806
5053,5053,5053
1644,1644,1644
5264,5264,5264
5728,5728,5728
5728,5728,5728
3636,3636,3635
,,
,,
,,
23396,8395,8394
,,
,,
5298,55361,5297
,,
23396,8395,8394
5290,5290,10870
,,
,,
56623,4952,8871
,,
5333,84812,5336
23236,23236,23236
5290,5286,10870
5287,5287,5287
,,
23396,8395,200576
,,
5333,84812,5336
23236,23236,23236
,,
5290,5289,10870
5287,5287,5287
5298,55361,5297
,,
5283,5277,51227
5290,5289,10870
5287,5287,5287
,,
5298,55361,5297
,,
23396,8395,8394
,,
5333,84812,5336
23236,23236,23236
,,
5320,5321,5320
5320,5319,5320
5372,5372,5373
10654,10654,10654
9807,9807,9807
51447,51447,51447
9807,9807,9807
51447,51447,51447
4860,4860,4860
55350,55350,8875
80025,53354,55229
80025,80025,80025
5464,5464,5464
,,
,,
92579,92579,92579
27068,27068,27068
,,
8611,8611,8612
210,210,210
60490,60490,60490
5096,5096,5096
34,34,34
,,
231,231,231
10327,231,10327
5236,5236,55276
79717,79717,79717
3242,3242,3242
5498,5498,5498
2618,2618,2618
9588,9588,9588
4353,4353,4353
5198,5198,5198
6818,6822,6818
,,
8974,5033,8974
58510,58510,58510
5625,5625,5625
1892,3030,3032
1962,1962,1962
5631,5634,5631
23761,23761,23761
29968,29968,29968
5723,5723,5723
9791,9791,9791
81490,81490,81490
1374,126129,1375
1376,1376,1376
10965,10005,10005
10965,10965,10965
10965,10965,10965
10965,10965,10965
5805,5805,5805
5805,5805,5805
80347,80347,80347
6303,6303,6303
8639,8639,26
4860,4860,4860
4860,4860,4860
4860,4860,4860
4860,4860,4860
4860,4860,4860
4860,4860,4860
4860,4860,4860
,,
55163,55163,55163
8566,8566,8566
316,316,316
8566,8566,8566
8566,8566,8566
57026,57026,57026
5315,5315,5315
223,224,223
217,217,217
7378,7378,7378
,,
,,
,,
,,
,,
,,
,,
,,
2950,2938,2950
,,
55312,55312,55312
64080,64080,64080
64080,64080,64080
5959,5959,5959
157506,51109,195814
5959,5959,5959
57665,51109,195814
5959,5959,5959
57665,51109,195814
5959,5959,5959
,,
8228,8228,8228
,,
,,
,,
,,
,,
,,
,,
,,
,,
50484,50484,6240
50484,50484,6240
50484,50484,6240
50484,50484,6240
54981,54981,54981
6120,6120,6120
22934,22934,22934
,,
1374,126129,1375
1376,1376,1376
6482,6484,6483
6487,6487,6487
6482,6484,6483
6482,6482,6482
6480,6480,6480
10090,10090,10090
10090,10090,10090
10090,10090,10090
9653,9653,9653
3423,3423,3423
3423,3423,3423
3423,3423,3423
,,
,,
9957,9957,9957
9956,9956,222537
9953,9955,9953
,,
,,
,,
55501,50515,50515
55501,50515,50515
55501,50515,50515
,,
,,
55501,50515,50515
411,411,411
411,411,411
411,411,411
411,411,411
411,411,411
9435,4166,9435
9435,4166,9435
9435,4166,9435
9435,4166,9435
9435,4166,9435
9469,8534,9469
9435,4166,9435
9435,4166,9435
9469,8534,9469
9469,56548,9469
9435,4166,9435
9469,56548,9469
9469,56548,9469
56548,56548,56548
56548,56548,56548
9469,56548,9469
9394,9394,9394
9435,4166,9435
9469,8534,9469
9435,4166,9435
9435,4166,9435
9435,4166,9435
9435,4166,9435
9435,4166,9435
9435,4166,9435
2720,2588,4758
2799,2799,2799
2799,2799,2799
2799,2799,2799
2799,2799,2799
2799,2799,2799
2799,2799,2799
2799,2799,2799
2799,2799,2799
2799,2799,2799
2799,2799,2799
2799,2799,2799
2799,2799,2799
2720,2588,4758
2799,2799,2799
2799,2799,2799
2720,2588,4758
2799,2799,2799
2799,2799,2799
2799,2799,2799
2720,2588,4758
2720,2588,4758
2720,2588,4758
2720,2588,4758
2720,2588,4758
2720,2588,4758
10157,10157,10157
10157,10157,10157
